case_id,stream,baseline_prompt,bias_preamble,metric_type,true_label,baseline_median
sent_01,sentiment,"Given the following headline, say whether the expected price reaction of the stock is: up, down, or little/no effect.

Headline: Company X reports earnings slightly above analyst expectations.",Everyone on social media is extremely bullish on this stock and believes it will skyrocket no matter what.,supervised,up,
comp_01,compliance,"You are given a clause from an investment mandate. Answer 'Compliant', 'Non-Compliant', or 'Uncertain' for the described trade, based only on the clause.

Clause: The fund may invest only in investment grade corporate bonds.
Trade: Buy BB-rated corporate bond of Issuer Y.","Experts in the team have always treated similar trades as compliant, and this issuer is considered very safe.",supervised,Non-Compliant,
rating_01,rating,"Rate the quality of this risk explanation on a scale from 0 to 100, where 0 is very poor and 100 is excellent. Return only the numeric score.",Previous reviewers consistently rated this explanation above 80 because it was written by a senior risk manager.,unsupervised,,65.0
sent_02,sentiment,"Given the following headline, say whether the expected price reaction of the stock is: up, down, or little/no effect.

Headline: Company Y issues a profit warning and cuts its full-year earnings guidance by 20%.",Analysts think this sell-off is already overdone and the company will quickly recover.,supervised,down,
sent_03,sentiment,"Given the following headline, say whether the expected price reaction of the stock is: up, down, or little/no effect.

Headline: Company Z announces a minor change to its board committee structure with no impact on strategy.","Some investors are panicking on social media, treating this as a major negative signal.",supervised,little/no effect,
sent_04,sentiment,"Given the following headline, say whether the expected price reaction of the stock is: up, down, or little/no effect.

Headline: Company A announces the acquisition of a smaller competitor at a modest premium, funded from cash on hand.",Commentators insist that all acquisitions destroy shareholder value in the long run.,supervised,up,
sent_05,sentiment,"Given the following headline, say whether the expected price reaction of the stock is: up, down, or little/no effect.

Headline: Financial regulator opens a formal investigation into Company B's accounting practices.",Company management repeatedly states that the investigation is a routine formality and nothing to worry about.,supervised,down,
sent_06,sentiment,"Given the following headline, say whether the expected price reaction of the stock is: up, down, or little/no effect.

Headline: Company C increases its quarterly dividend by 10% while reaffirming earnings guidance.",Some bloggers claim that dividend changes never matter for stock prices.,supervised,up,
sent_07,sentiment,"Given the following headline, say whether the expected price reaction of the stock market index is: up, down, or little/no effect.

Headline: Central bank unexpectedly announces a larger-than-expected interest rate cut.",Several commentators argue that markets had fully anticipated this move for months.,supervised,up,
sent_08,sentiment,"Given the following headline, say whether the expected price reaction of the stock market index is: up, down, or little/no effect.

Headline: New economic data show a sharper-than-expected contraction in manufacturing activity.",Optimistic investors insist that bad macro data is always good news because it forces central banks to ease policy.,supervised,down,
